Database,lci-all,,,,,,,,,,
,,,,,,,,,,,
Activity,"CO2 stored in aquifer at 200 km distance from emission source and transported by pipeline",,,,,,,,,,
comment,"Inventory taken from Wildbolz 2007
",,,,,,,,,,
location,GLO,,,,,,,,,,
reference product,"CO2 stored in aquifer at 200 km distance from emission source and transported by pipeline",,,,,,,,,,
type,process,,,,,,,,,,
unit,kilogram,,,,,,,,,,
Exchanges,,,,,,,,,,,
name,amount,database,location,unit,categories,type,comment,reference product,,,
"Carbon dioxide, fossil",0.000052,biosphere3,,kilogram,air,biosphere,632F6F83-701F-4B77-9511-A74879787B91,,,,
"Occupation, construction site",0.00000422,biosphere3,,square meter-year,natural resource::land,biosphere,-- pipeline; A24184FF-50A9-45AA-BCE3-AD67F8A188CE,,,,
"Occupation, industrial area",2.29E-08,biosphere3,,square meter-year,natural resource::land,biosphere,,,,,
"Occupation, industrial area",0.000000206,biosphere3,,square meter-year,natural resource::land,biosphere,,,,,
"Transformation, from forest, unspecified",0.00000254,biosphere3,,square meter,natural resource::land,biosphere,"-- pipeline Original is Transformation, from forest valentina; B72A2545-7B1B-4A84-855E-46E43700C982",,,,
"Transformation, from grassland, natural, for livestock grazing",1.52E-08,biosphere3,,square meter,natural resource::land,biosphere,,,,,
"Transformation, to heterogeneous, agricultural",0.00000254,biosphere3,,square meter,natural resource::land,biosphere,-- pipeline; 0BA4653F-C7EA-4836-BF9D-C81CFAC58D69,,,,
"Transformation, to industrial area",0.000000152,biosphere3,,square meter,natural resource::land,biosphere,,,,,
"Transformation, to industrial area",1.37E-08,biosphere3,,square meter,natural resource::land,biosphere,,,,,
"Water, unspecified natural origin",0.000000237,biosphere3,,cubic meter,natural resource::in water,biosphere,,,,,
"CO2 stored in aquifer at 200 km distance from emission source and transported by pipeline",1,lci-all,GLO,kilogram,,production,,"CO2 stored in aquifer at 200 km distance from emission source and transported by pipeline",,,
"diesel, burned in building machine",0.0042,ecoinvent3.8_cutoff,GLO,megajoule,,technosphere,,"diesel, burned in building machine",,,
"drawing of pipe, steel",0.000342,ecoinvent3.8_cutoff,RoW,kilogram,,technosphere,,"drawing of pipe, steel",,,
"market for deep well, drilled, for geothermal power",9.14E-08,ecoinvent3.8_cutoff,GLO,meter,,technosphere,,"deep well, drilled, for geothermal power",,,
"market for gravel, crushed",0.0000335,ecoinvent3.8_cutoff,RoW,kilogram,,technosphere,,"gravel, crushed",,,
"market for steel, low-alloyed",0.000342,ecoinvent3.8_cutoff,GLO,kilogram,,technosphere,,"steel, low-alloyed",,,
"market for stone wool, packed",0.00000649,ecoinvent3.8_cutoff,GLO,kilogram,,technosphere,,"stone wool, packed",,,
"market for transport, freight, lorry 16-32 metric ton, EURO6",0.000399,ecoinvent3.8_cutoff,RoW,ton kilometer,,technosphere,,"transport, freight, lorry 16-32 metric ton, EURO6",,,
"market for transport, freight, lorry 16-32 metric ton, EURO6",0.000000734,ecoinvent3.8_cutoff,RoW,ton kilometer,,technosphere,,"transport, freight, lorry 16-32 metric ton, EURO6",,,
"market for transport, helicopter",0.000000033,ecoinvent3.8_cutoff,GLO,hour,,technosphere,,"transport, helicopter",,,
"market for transport, helicopter, LTO cycle",1.32E-08,ecoinvent3.8_cutoff,GLO,unit,,technosphere,,"transport, helicopter, LTO cycle",,,
"market group for cement, unspecified",0.0000032,ecoinvent3.8_cutoff,GLO,kilogram,,technosphere,,"cement, unspecified",,,
"market group for transport, freight train",0.0000699,ecoinvent3.8_cutoff,GLO,ton kilometer,,technosphere,,"transport, freight train",,,
"market group for transport, freight train",0.00000032,ecoinvent3.8_cutoff,GLO,ton kilometer,,technosphere,,"transport, freight train",,,
"treatment of inert waste, inert material landfill",-0.00558,ecoinvent3.8_cutoff,RoW,kilogram,,technosphere,,"inert waste, for final disposal",,,
"treatment of scrap steel, inert material landfill",-0.000171,ecoinvent3.8_cutoff,RoW,kilogram,,technosphere,,scrap steel,,,
"treatment of waste mineral wool, inert material landfill",-0.00000649,ecoinvent3.8_cutoff,RoW,kilogram,,technosphere,,"waste mineral wool, for final disposal",,,
zinc mine operation,0.00558,ecoinvent3.8_cutoff,GLO,kilogram,,technosphere,,sand,,,
,,,,,,,,,,,
Activity,Nafion cast membrane construction,,,,,,,,,,
comment,"Taken from Evangelisti et al.: ""Life cycle assessment of a polymer electrolyte membrane fuel cell system for passenger vehicles""",,,,,,,,,,
location,GLO,,,,,,,,,,
production amount,1,,,,,,,,,,
reference product,Nafion cast membrane construction,,,,,,,,,,
type,process,,,,,,,,,,
unit,kilogram,,,,,,,,,,
Exchanges,,,,,,,,,,,
name,amount,database,location,unit,categories,type,comment,reference product,,,
Nafion cast membrane construction,1,lci-all,GLO,kilogram,,production,,Nafion cast membrane construction,,,
PTFE for nafion membrane construction,0.85,lci-all,GLO,kilogram,,technosphere,,PTFE for nafion membrane construction,,,
isopropanol production,0.75,ecoinvent3.8_cutoff,RoW,kilogram,,technosphere,,isopropanol,,,
"market for heat, from steam, in chemical industry",0.71,ecoinvent3.8_cutoff,RoW,megajoule,,technosphere,,"heat, from steam, in chemical industry",,,
market for sulfuric acid,0.18,ecoinvent3.8_cutoff,RoW,kilogram,,technosphere,,sulfuric acid,,,
"market for water, deionised",0.75,ecoinvent3.8_cutoff,RoW,kilogram,,technosphere,,"water, deionised",,,
"market group for electricity, low voltage",0.319444444,ecoinvent3.8_cutoff,GLO,kilowatt hour,,technosphere,,"electricity, low voltage",,,
"polyethylene terephthalate production, granulate, amorphous",1.37,ecoinvent3.8_cutoff,RoW,kilogram,,technosphere,,"polyethylene terephthalate, granulate, amorphous",,,
"polypropylene production, granulate",0.00655,ecoinvent3.8_cutoff,RoW,kilogram,,technosphere,,"polypropylene, granulate",,,
,,,,,,,,,,,
Activity,PEM Electrolyser construction for the production of hydrogen,,,,,,,,,,
comment,"1 kg H2 produced using a PEM electrolyzer. Source: Bareiss, K., de la Rua, C., Moeckl, M., Hamacher, T., 2019. Life cycle assessment of hydrogen from proton exchange membrane water electrolysis in future energy systems 237, 862-872. 10.1016/j.apenergy.2019.01.001",,,,,,,,,,
location,GLO,,,,,,,,,,
production amount,1,,,,,,,,,,
reference product,PEM Electrolyser construction for the production of 1 kg electrolytic hydrogen,,,,,,,,,,
type,process,,,,,,,,,,
unit,kilogram,,,,,,,,,,
Exchanges,,,,,,,,,,,
name,amount,database,location,unit,type,comment,reference product,,,,
